reviewTitle,reviewBody
Love my hair,Very soft no smell and very pretty I get complimented everywhere only been installed two days but very promising I’ve ordered hair from UNice and this is very good n quality like theirs . Please make hd closures
Chipping off,My nails only lasted 4 days. They started chipping after 2 days.
Easy to use,????
Helped with my dogs fur,This is the third bottle I bought for my pups.
Colorful,These were a huge hit at my daughters birthday party.  My kids 6 & 4 still play with them.
Great towel.,Love this towel. Price was right for two. Use them at the pool everyday. Will be ordering a few more.
Unusable!,"They were not universal. Did not fit in my base! I needed six so I had to order eight, total waste of money."
NOT COMPATIBLE WITH HEADPHONES,"The controller itself is actually better quality than a ps4 controller but when I plug in the headphones I can hear everything but the mic won't pick up sound. I know it's not my headphones because it works fine with the other controllers just now this one, I mostly play while talking so I am going to return this. I'm really disappointed."
Light review,"Easy to use,"
Awesome saw,Spot on description
Unfortunate,One of the motors inside the fan wasn’t properly popped into place.  I had to disassemble the fan in order to pop the motor into place.
Not recommended,"This razor us awful. The blades barely touch the skin. The soap builds up after one swipe thus you're rinsing under string water pressure. The installation of the blade is bit as simple as the standard blades not to mention these are nothing like the standard blades, so you can't use any other handle. I will not purchase these again."
waste of money,it is a joke and a waste of money. It is that bad and would not recommend.
Magical,"Its just perfect…. I absolutely love it, great quality, perfect size, and the color it’s so warm… very beautiful. I definitely recommend it."
Expensive but I Love Stasher Bags,High quality product.  I wish it were less expensive.
Bakery,Son super excelentes me encantan al 100%
Highly recommend,Got so many compliments on it. Very simple yet industrial. Love it.
Perfect high heels,Comfortable high heels! You can wear at work and your foot won’t get tired ! Recommend it !
My dog loves it!,My Frenchie loves the bed!!
Love this,I stuck this to my bathroom mirror too the left of the faucet.  I put it about 8" above the counter so it doesn't get wet when people wash their hands.  Great for company because no one likes using a wet towel that is in the bathroom that everyone else uses.  Especially these days!!  Less way of getting bacteria!!
Too big and material is a little cheap.,Too big
Works great!,Great value! Arrived quickly. Works great!
"Great, and...",I bought two of these solar flashlights chargers because I liked the way they performed. But both of them didn't last a year.
Great gift,This toy is durable! It stands up to vigorous toddler play! Adults love it too!
A+,"Very nice beach blanket! Fast shipping, highly recommend."
Cheap table. Defective parts that they refused to replace. They told me to drill the holes myself.,The white faux marble is less than an inch thick and looks really cheap. The legs had the holes on the wrong side so I couldn't complete assembly. The bottom bar that connects stabilizes the table and because the holes where on the wrong side I couldn't install that bar causing the table to be uneven and unstable. I messaged the seller twice and they told me to drill the holes myself and that they couldn't send me correct replacement legs. I'm really disappointed. SAVE YOUR MONEY
Great buy,Love it
The most uncomfortable unstable junk,It is a very small seated surface and not comfortable the whole stool wobbles and slides on the ground. Not worth the money and not practical. Yes i am returning it
Great press!,Love my press! Everything I needed!
It’s too difficult to open,When trying to open and put my phone in I have to use both hands to open it.
Needing more practice,I'm excited with my purchase but gonna need more practice to get the look i want. It takes longer to do my nails this way but the ones that i get right do look good. I'll keep on practicing.
Return your device if defective.,"I dislike how the laptop I purchased is defective, and delivered without the battery."
The best webcam,The camera captures certainly good quality feed.
Show box,I love it
Glad to have it again.,"I’ve always used good seasons, my favorite. When I needed a new cruet after many years, I noticed my store no longer carried it so I found it online. So happy to have it again."
This is a very good hose,"I've always been skeptical of hoses like this but this has worked great so far. It has great reach, is very light weight and so far I didn't have any problems with leaks even with a toddler stepping on it constantly."
"Pretty blouse, wished I had ordered a size smaller","Very pretty blouse, flowing, light weight, flattering, but I wish I had ordered a medium. There is a charge to return, so I will keep and see if I can shrink polyester. For reference I am 5'7"" 169 lbs. and purchased a large, but a medium would have fit better."
Perfect,A very good fit. I like it>
Fake! Not original product!!!,These are knockoffs! Not original. Original are made in USA. These have a foreign language written on them and are made in Vietnam. Returning them.
Good light for the money.,"Purchased these as back up lights for my extra off duty car. Lights work great worth the money, this is the 3 set I’ve had. All three still work and are in use on other vehicles."
Flimsy,Tore when my adult child put it on. Their thumb went right through it.
Very sturdy,COVID-19 vaccination cards fit perfectly.
Nice toothbrushes,"My first electric toothbrush and I love it. My teeth feel almost like I just had a cleaning at the dentist. It’s easy to use, no issues. Great value and I love that it came with lots of extra brushes and travel cases."
Leg day game changer!,These are a game changer for knee comfort during training! They also work well if you pull them down to your lower leg to help cushion the leg extension or seated leg curl pad. And they help protect my shins during deadlifts.
So SOFT!!!,I bought two of these for nieces and nephews.... I’m keeping one and ordering another it’s so cozy!!!
Great deal for the money.,The wallet is good quality. Plenty of slots for cards. Folds nice and slim. Came in a nice looking box.
Can't be beat for its price,Pros
Happy and enjoy �,Satisfied for this product.!
Great Ride!,We bought two of these (one pink and one yellow). Our 5.5 year old and 3.5 year old can both easily drive them and they both drive at speed levels that are not too fast for their age. I would recommend these if you’re looking for a great Power Wheels for your child!
Awesome product. I am very pleased with this purchase.,Versatile sturdy stand that I use for my phone. Very solid product.
Terrific sponge!,Incredibly great sponge...that's something I never would have imagined I'd be saying...but it's the truth!
Great product!,"It took my 14 week old puppy some time to grasp the concept but with time and patience, now she’s a pro! I love that I can hear it even if I’m in the back of the house. She hits it with her paw and so far they have held up. If that changes u will update my review. As of now I’m so happy with this purchase and my pup is too!"
Not what it claims to be,"I ordered the rack to fit my 1 1/4"" hitch.  It's advertised as fitting either that hitch or a 2"" with the included sleeve.  I ordered it in October, didn't unpack it until May (cold winter).  Well, the rack delivered only fits a 2"" hitch, so it's useless for me.  And the return window closed 1-31!"
Facil de armar,Material y fácil de armar
Great for curly hair!,Awesome product for my very curly hair!
Terrible product not made to last more than one day. Avoid .,"Rake broke after 15 minutes of work, with two tines being pulled out of the fastening... a piece of 20 gauge wire threaded through a single hole . Terrible design."
Great Product,"Product did as it stated. I applied it to many starts, and they took off and are still doing well. It is a great value for the price. Would buy again."
Great hose but get the extra warranty,"This hose is lightweight, doesn't kink unless you try really hard and it will flatten out if you drive over it.  We bought 2 fifty footers and one blew out right near the top.  There is an extra protective plastic for the top but it doesn't stay in place and that's where it blew out.  The good news is that the warranty replaced it but only with an Amazon credit and not cash back."
Great stuff!!!,Invigorating and refreshing scent. Nice cooling effect that wakes you up.
Perfect!,Awesome. It cut through the carpet like a hot knife in butter. Definitely would recommend. Shipping was quick. Nicely packaged and a good price. Doesn't feel flimsy of cheap even though the price is affordable.
great mat and I loe it,I think the order was perfect. The mat was great. Thank you.
Absolutely Amazing,"Beautiful, strudy, smooth as floating. Absolutely worth every penny. Donated all other scooter in garage."
Works.,Works well.
easy to build,My 10 year old was able to put this together. Fast shipping. It's not so sturdy but for light things its good.
Love the Quality and Sizes,"It's perfect for what I'm working on, the different sizes gives an optical depth effect on a flat surface, makes it more interesting for the eye"
This is a lovely and comfortable ring.,I love this ring. I have received many compliments. It is very comfortable and true to size. It arrived in a lovely gift box.
Did not work at all,The product did not work at all
Just want I was looking for,"I've been looking for exactly this set! Nice tall grinders, easy adjustable and works wonderful. Happy customer"
Buy it,Great product. Buy it and save your money
Just the right size,Perfect size for my labels and sample size soaps.
Loved the colors!,They are ok for the price placed them  on my garage door! One of them was peeling off just wondering how long they will last.
Gives the Gucci Tote form!,"The insert fit perfectly in my medium size gucci tote. My bag looks better with structure/form. Also it has lots of pockets for sunnies, cards, cell phone, pens, small wallet etc."
Good,Good
Not a perfect fit but it works well and costs 1/3 of the OEM part,"I replaced the original light on our 2012 Armada with this assembly. No issues getting everything hooked up, it's just a pain to get to the light. I actually liked that it didn't come with any pigtails for anything, so I just disconnected everything from the old light after I removed it from the spoiler. I didn't have to run anything back through the liftgate. The fit is not 100% perfect, as the gap at the edge between the light and the cutout in the spoiler is slightly larger than it needs to be. It's not noticeably off, though. Hard to knock it for the price - $40 plus tax. Cheapest I could find from Nissan was about $123. Next cheapest is Dorman for $90."
It's Wonderful!,My dad with Alzheimer's had been struggling to remember what day of the week it was. As soon as I installed this clock for him I noticed a  HUGE difference in his attitude and memory. It almost feels like he's improved! He now knows what day it is and is now more confident in himself. This purchase was worth every penny!!! Thank you!!
Shed terrible,Received and washed shed terrible. Will need numerous washes before you can use. If you can use at all.
Damaged and in the wrong box,"It’s pretty. However, the kettle, which the seller claims is new, was inside a hastily taped together box from a different kettle (see picture) and the kettle lid was bent and didn’t close all the way. I returned it."
Expensive as hell but a must have,Expensive as hell but a must have
Great value and fit,"I was impressed.  Well packaged, easy to fit and meets its intended purpose.  Its moisture wicking is awesome.  They decently stand the test of the washing machine.  Great product for golf, mountain biking, hiking or jogging.  Recommend 100%"
Fun item,Really enjoying our Eufy  Need to pick up little rugs and get a couple of cords out of the way.
Keep it on,Awesome
"Mmmmmmm. Creamy, sweet, wonderful!","Rich, creamy & sweet. I got addicted to Carnation malted milk powder while I was on house arrest during Covid. My favourite way to eat it is sprinkled over vanilla ice cream with peanut butter, squished together with my spoon. Almost any milkshake is better with malt, especially carmel or butterscotch. Try it for yourself and you'll understand why everyone over a certain age used to talk about going to the drive in and  drinking malts. SMART GENERATION!!!"
It works!,"Love the method and ease of use. Plus, keeps the wine fresh for extended days on end. Works great!"
My Go To Holster,"Great holster for my glock 26 gen 4. The edges are super smooth and the gun clicks in tight. The carbon fiber texture slides nicely into your waistband, if I'm running out to the store or doing my everyday activities I always use this holster."
a bit snug,just a little snug on me DD breasts and a bit of a tummy but overall i like the shirt
ok,ok does the job
LO QUE BUSCABA,Wow buen producto
Not Very Strongly Scented.,I really wanted to like this but it was gone very quickly and didn’t have a very strong scent unfortunately. Sorry!
Thank you  to all fighters,My son-in-law is a volunteer fire fighter and my prayers always goes out him and the team when they go out on a call a small token of my thanks
timely,good
Smart easy and works great!,The ram traveled from Las Wegas to Norway in a weekend:-) As advertised they are splendid for my gaming and office use.
Works well definitely worth it,Very relaxing love it
Adjustable to Smaller but,There is only one size to buy here and then it adjusts down. I never considered having a large head but I guess I have a large head. I have to cram this on. Be aware that this is not a one size fits all hat.
Simplicity,My family used to purchase C batteries fkr our kids toys. The down side to that was that they were expensive. Ever since we found this brand we have not gone through as many. Having rechargeable batteries has simplified things and it has also saved us money.
I love this!!! So happy I bought it!!,Love it!!
Love This Nightlight,"I love this nightlight! It looks really nice (I got the nickel finish), it comes right on when you turn the lights out. Has many colors and is bright enough to light the bathroom at night."
Really love this brush!,I already knew this would be a good brush prior to buying but I am happy with the purchase.  I may go back and get a wider one though.  I have fine hair and it works grea0t but the wider paddle may have been more appropriate for my hair type. Other than that it's very sturdy and definitely built to last.
Love it,"Okayyy this is my holy grail. Clean, fresh and not leave dry skin. Will buy again"
Great stuff,This has helped with pain in my shoulder and back.
Worth spending money,Nice stuff.
Awesome,Great item looks great and it’s easy to install
A decent purchase in 2021,The phone itself is pretty fast still in 2021. Not much random weird apps included with the phone except for apps PC utility and Phone check. The phone itself has only glitch out on me once so far. The fingerprint reader works 4/5 times and the battery life is enough for one day.
Fit my son perfectly,Perfect fit. Hard to find size 31 so very happy with these.
Terribly unhappy,This is horrible to put together. I wish I had never bought it. The wooden dowels break and the surface breaks.  It’s horrible.  I need a replacement
Great,I put them on the side of my fridge and they have worked perfectly so far
Great machine,"This is my second Brothers nachine.Great machine. Dependable, smooth, easy to use."
If you live in city and keep grass done not high ok .,Not as good as should be and weed eater not as powerful as expected.
Much easier to use,"So lately gas cans have become so safe they are mostly unusable! We bought this one because reviews noted it was easier to use. We found the safety pushbutton much easier to use with our 70+ year old arthritic thumb. While still annoying,  at least it was functional.  We will buy another one to use with the gas/oil mix for our other lawn tools."
This product exceeded our expectations.,"This product came completely assembled, is well made, is sized to meet our needs and fits well in our kitchen."
It does what it needs to do,"I use this for my USB mic, and it works. It does what it needs to do. I highly recommend this."
Wet and Forget says it all,Spray it on and walk away. Rinse the next day. Works amazingly well.
Good for natural set but flimsy,The tips are nice if you want to do a natural looking mani without the need of making your own French tip. The downfall is the tips are flimsy and the case opens very easily as well. The rest of my sets were discarded due to the contents popping all over the floor.
Awesome well worth the price.,I love it.
Worst tasting protein I have ever tried.,This protein taste like pure plastic/chemicals. Probably the single worst tasting protein I've ever tried.
Fun,Liked as a present
Love this soil!!,Great soil!!
Bad part,Trim is out of allingment?
What can I really use safely to clean it,I really like it up to now it was worth it perfect size..
Value for the money!,"I think that this met my expectations, and is worth the money!!"
Love these,Love the way they absorb moisture from condensation from cold glasses
This is a very sturdy piece of furniture,"I am so happy I ordered this as I have been looking for almost 2 years for a farmhouse TV stand and this is just what I wanted. Its sturdy, it was easy to put together and it is a nice piece of furniture. Ty so much"
busted open!,I can honestly say that I used to love Hefty trash bags however after getting these bags lately I am extremely disappointed in their quality.  I have had quite a few these bags bust open at the bottom when taking to the trash can so much that I now have to double bag it until the box is done before I start using a different brand.
Grainy.,So grainy!! I cannot for the life of me get a glossy finish.
Perfect little outfit,"Loved this little outfit, it was perfect for our little one!"
Sturdy with a lot of space.,Very easy to assemble. Light but sturdy. Lots of room for mom and 5 pups.
Great for beginners,Great product good quality easy to lay a spread Well definitely recommend
Must Have,Absolutely love! Best maternity workout leggings yet!
Fits perfect and fingerprint tab was easy to remove,Fits perfect and fingerprint tab was easy to remove
Hasn't warped !,"Gave as a gift, and our daughter is thrilled."
A little disappointing,So I  though they were going to be thick and fluffy... A little disappointing
Really disappointed,I loved the softness of this top and it looked like it would be flattering with the model.  I wear it but only at home.  The sleeves are way too long (I got a medium) and the sides are so straight that it doesn't show any shape on me - so i wasn't willing to wear it in public.
Works great,Works great
Very cute,This bathing suit is so cute and patriotic .. love it and it fits great too
Much prefer the loose tea to the bags,I love the quality of Vahdam teas. I prefer the loose tea to the tea bags though. I have to use two tea bags to give me the flavor and strength I desire.  It looks like perhaps 1/2 teaspoon of tea in each bag.
Perfect,Was exactly what I wanted
Fat Cat is in Bed Nirvana!!!,"This is the Plushest, Prettiest, Softest, most Cozy pet Bed Ever!!!  Best price for such luxury and beauty!!!  The ivory color even looks good in my living room!!  My Fat Cat got in it before I even decided where I would put it, and before it was totally fluffed out!!!  He owns it, if he isn't eating or peeing!!  Lazy cat is just gonna get fatter, but he Loves Me SO much for getting him this bed!! My shy sweet cat hasn't had a chance to try it yet!!!  Beautiful bed!!  Thank you!!"
Pibble-approved and pibble-proof,"My pup loves this toy, super durable and suction power is enough for a 60lb pibble. I filled it up with treats and he can entertain himself for a while. I have to literally wrestle it away from him when play time is over."
Love it,Great product
Leak,I was soaked.  Worthless product.  Return.
Good sweat pants for the money.,This product is as expected.
Perfect,Perfect
Amazing humidifier!,I've been using it everyday since I bought it. Best humidifier I've ever owned!
Not good at all!!!!,The candy is old and is busted. No liquor inside at all. Not satisfied at all. Paid good money for nothing!!!
great,softness
waste of $$$,"I've probably used this vacuum around 10 times. the first few times it worked fine. then, after a few seconds of vacuuming (with a fully charged battery), it would simply power down.  It's now been nearly a year since my purchase, but these problems were happening shortly after purchase.  I completely cleaned the vacuum and cully charged the battery just to see if it was user error, but to no avail."
Cheaply made,I wanted to love this purse so bad ! I actually like the shape but the front detail came scratched up and cheaply made it looks like someone hurried and super glued before it was sent to me. Even parts of the rhinestone are missing on the top. I’m sad because I wanted this for vacation two days away I’m not even able to return it
Huge fans of these M&D puzzles,My almost 3 year old absolutely loves these puzzles!
So perfect,Great for small ears
Fun,It was fun to put together but Took a while to put together
Great product,I didn't use these as nursing pads. I used them on days I didn't feel like wearing a bra.
Good Quality,Excellent shirts for the price.
Great Product,I use this for squats and its been perfect for challenging me. Already seeing great results!
A Great Starter,"I'm new to the stationary hobby and hope to grow my collection, this has been a great purchase as it comes with just about everything you need with ample supplies to try things. Especially for being under $30, it's great."
It worked ok...,Touchscreen was difficult to use with case on.
Flexible soft shoe storage.,"These bags are good for packing shoes in luggage or in the car for road trips. The shoes are easily identifiable through the clear vinyl. I have one pair of hiking boots that don't fit together in one bag. But gym shoes, walking shoes, sandals etc, can be packed together. Also, I like them for  storing stuff. 24 is a lot. You probably will think of ways to use them."
Easy for on the go use,"So cute! Good color, fits perfectly."
Looks Great!,"I sealed my back patio (brick pavers) and the front entrance.  So far, everything looks just like I expected it to!"
Beautiful,I bought these for my sister who loved them! They actually water a little bigger then I expected. It was the perfect gift
Cute,This cute thing is easy to clean the stem makes it easy to hold too. Packaged nicely.
Blends well,Easy to apply
Tastes great every time,I like the dark chocolate flavor
What a deal!!!,"Noticed that they had a bundle deal through Amazon. I got both of these items for less than the cost of one at most retail stores. I’m excited to use these again. After having a baby via C-section, are used both of these products on my C-section scar. Using this duo for my scar from surgery not to mention the loose skin from pregnancy."
Very happy!,Exactly what we needed to fit it a small kitchen counter space for added storage. Seems durable and sturdy. Great buy for the price!
"Great product, highly recommended","This massage gun has very minimum noice, and the battery last very long."
�,Fast service. The product it is good
Best purchase ever!,Best purchase ever!
Great looking well made,"Love this vest, pretty and smart looking, well made for the price."
To tiny,It was to tiny to wrap candy in!
Great value,Great quality.
Extremely soft,Blanket and lovely are extremely soft and comfortable
Pkg was in crumbs.,It was as if pkg had been crushed.  Patties were all broken up and crumbles. My dog only eats in pieces so this pkg was no good for him. No way to contact seller.
Overall no major complaints,Instructions could be a bit better but overall I like this item. Perfect for what I needed in my bathroom. Very sturdy and compact.
Sturdy case,"This case is sturdy and protects the phone well. The reason I gave it a 4 instead of 5 was because the cover for the charging port is on so well, it takes effort to open and use it, but overall that's not a big deal. I'd recommend it."
Pet hair helper,"I wasn't sure that I would love it as much as I do. But with having pets and being tired of pet hair, this thing is great. I run it every day, and it helps keep the level of pet hair next to nothing."
Great lights!,The 65ft was long enough to go all around the room and had a few ft left over.
do not trust!,outer cap was on but inner seal was broken
Hummers love it,Brightly colored and very well made.
Perfect,Works as ordered! ���
Beautiful swimsuit!,Perfect fit! I love this swimsuit!
Super light and comfortable!,I love this fan! It’s super light and you can bend it to fit your neck comfortably. I can’t wait to use it at Disneyland!
Great lightbulbs!,"Installation wasn't the most straightforward process. It took a few attempts to get all the lightbulbs to connect, and registering my profile with Google didn't save my password so I had to reset it. Once I got everything hooked up and my Google account linked well, it was smooth sailing from there. I love being able to control the lights with either my voice or the Google Home app. Makes everything so convenient."
Love it!!,I love it!!!  Beautiful for my sun room..
Perfect,Absolutely beautiful!
Beautiful!,"Loved it so much I bought two just in case something happens to the first one! The cloth feels great, color is perfect, I love the look."
Style,Nice product
Would get it again,They even have a soft place to put the rings.  It’s so cute and I love it.
Puppy fun!,"My puppy definitely loves splashing around in this! Haven't really tried to properly fold it back up, but it does seem pretty simple."
exactly as shown,i got this for myself and my best friend . seeing as i like silver and she likes gold ; the black option was so perfect . it looks exactly as pictured and the chain length is perfect length . solid clasp also . she absolutely loved it !
nice mini computer,"very nice mini computer. fast, quiet and price is right."
Ehhhh,It easily disconnects...
Runs small!,Not true to size :(
Easy to load,"Pull the plunger all the way back, unscrew pump end from gun tube, remove plastic cap from grease cartridge and insert new grease cartridge into gun tube. Pop aluminum cap from grease cartridge and reinstall pump side to gun tube. Release spring and pusk plunger up inside tube. Burp gun using pressure release and you are ready to go."
Can't wait to use it,"Haven't had a chance to use it yet, but looks great and good price"
Instructions,Talking to family & friends
Not made well,"I love this concept. I like to take baths and watch my netflix shows. Mine came and it wouldn't close all the way. I did not try it out since i was worried it wouldn't hold my phone in and would fall in the water. I forgot to return it on time, so its just sitting in my closet."
Not happy AT ALL,"If my daughter hadnt given her old tv stand away already, I would have returned this piece of junk, cant believe I spent 200.00 on it."
Is sturdy but canopy is not strong,Canopy isn't strong enough
To work,"Is working as is supposed to, thank you"
Can't Give a Good Rating if It Doesn't Work,"I bought this thing with high hopes but was very disappointed in the end.  I followed all the instructions to install it and got to the point where you turn the power on and connect it to your network.  When I did that, I didn't get the expected white LED lights on the doorbell. I got some other version that indicated a problem.  When I went to find out what the lights meant, the first time I read that I had an inadequate transformer.  Great! So my first issue with this system is that it can't work with transformers that are already in your house. You have to have a special transformer on your doorbell. If you have anything other than a modern home, you might want to check your transformer before getting this doorbell.  Apparently there is not enough power in the standard transformer for this item."
Doesn’t work,This product doesn’t work at all. I’m not sure if it’s fake but I don’t recommend.
Nice shoe,Nice shoe just cut small
It fit my printer,Nothing yet
Fantastic quality,"True to size, these are an easy buy, affordable, and great quality overall!"
works good,just as ordered
Exceptional customer service,Upgraded my review based a exceptional customer service. My first item failed after a couple weeks and this company went out of their way to address the problem. They contacted me directly and have Tupac the fault device. New device is great so far.
"So cute, very sturdy, kids loved them!!","These are so cute, kids loved them and they were not cheaply made!"
Plenty to go around.,I love the colors & the quality of the gloves. Highly recommend.
Value and quality,Great set of lights and the price is even better
A very good no-frills electric brush,"The small rotating brush head works well and reaches all parts of the mouth easily. That's the single most important reason to buy this device. The 30 second stutter reminder is a useful feature to time the brushing of each quadrant. There is no auto shutoff after 2 mins, but I don't find this to be consequential. The entire device is washable under running water, which is necessary each time.  I leave the brush in the charger all the time. The absence of more fancy features is really not a big deal. Basic brushing works very well with the design of the brush head and the reasonably quiet motor. I have to see how long this lasts, but I'd recommend this brush highly. Only reservation is that the price seems a little high for this setup."
It’s all cotton and comfy.,I have bought these for several years and they are comfortable and breathable.
????????,Will buy again
Adorable,So cute! Good quality. A little big on my two month old but that was expected. Everyone thought she looked adorable
Beautiful product.,Love Maybelline.
Not fancy,"These are mid-weight red plastic. Sturdy enough for top shelf of the dishwasher. Not at all fancy, but hold three tacos upright for easy filling and serving.  Flip over for a stand for two tacos.  Perfect for our weekly taco night."
Too big,"I did buy size 0-3 but its too big. However i like it, soft material and warm"
Multipurpose Griddle!,"The best part is the non stick part. Its very easy to use and clean after. I have used griddles before but not this big one. I was a little skeptic to get this one as it was big, but it fits fine and being large I can make multiple Dosa's or Roti's at a time. It saves lot of time and effort when we have guests over. It's a very handy device worth the buy. Was packed good and delivered on time."
"Warm, confortable.","Caps fit well, is very comfortable, warm and easy to put the helmet over. The eyeglass slots are very easy to insert frames."
Disingenuous description and pictures,After ordering the product we realized that the picture on the box is not what is in the box. The picture on the box displays a feature called segments which this model does not have. It is the entire reason we ordered this model. Very disappointed.
Works,Perfect
All 3,All 3 reasons. For drawing an writing
$150 down the drain.,It works well for what it is however I got one and a half uses over fall and spring out of it before the axel failed. All of the torsional strength come down to the threads on either end of this adjuster rod. If that nut loosens at all the the threads cannot support the stress. It’s a custom part and not replaceable from what I can find. Poor design relying on a $.03 part. $150 down the drain.
You want to know if it really works or not.  And it does.,"For my Diabetic , it helps me.  Don"
Beautiful!!!!,"Okay, so I bought 2 of these. The black and the deep blue.  I am 5'6"" and all legs with a short torso. My 6' hubby and I have the same length legs. My waist is about a 40"". I usually wear XL or an XXL if I want it a lil roomier. So, I bought the PLUS on both of them. The dark blue was perfect, but the black was tighter in the waist. Its fine if you dont have tummy issues. But if you do, it will be too tight on your tummy. You must be very careful washing these because they both bleed..even in cold water. And you DO NOT want to dry. These will shrink...a lot!  So all in all, they are spectacular looking...with lots of detail. The black have small beeds on it...making it VERY eye catching. Both have lace on the bottom. Very swishy and feminine. The blue kinda looks like jean material, but isnt. Deninitely worth the buy!!"
Great gaming chair!,Feels like a throne
Soonsun gopro 8 Battery Door Fits perfect,"This 3rd party replacement door fits better than the original Gopro door. Plus it has a slot for the USB-C cable. I never use mine around water, so I don't need it waterproof and if I did, just pop the original door back on. Fits nice and even and level to the gopro case body."
Good Value,I was looking for an air cooler for my office and this one was perfect. I actually kept it for my bed stand and exchange the old one for my office due that this one is better. It keeps me cooler than the old one and let me sleep all night because it doesn't make noise. It is worth the money.
Un-lasting Beauty,"Beautiful at first, faded very fast (within a month) and looks very worn. Not worth the money spent on it????"
Disappointed,"These are not flat on the bottom, and they are only 6mm in the center. Not what i was expecting. Im thinking these are going to be too thin. You can see on the ruler that they are 3.74 long and the caliper shows the 6mm thickness. Will look for a better product"
Nice and colorful,These look amazing over my windows and the colors are perfect... the only thing I would like more is for the fabric to be thicker.
good solid workmanship,"LOOKS GOOD ON MY WALL, EASY TO READ"
Handsomely attractive bracelets for men,"Great bracelet! Very well built, has very nice fit and finish. These make great gifts, I treated myself to two different variations."
Good for Walking,"I wear orthotics and got a size larger and wider. I’m glad for that. The shoes are a bit stiff and not for running. I’m an avid walker and do 5 miles per day , rain, shine, snow or heat. These fit well and comfortably right out of the box.  In snow they had a fairly good grip. Nothing works on ice. They’re probably not waterproof but my toes don’t get wet in an inch or 2 of snow like in my old shoes. Support is excellent, probably why they feel stiff. But will probably loosen up over time.  My othodics provide arch support so I can’t rate these on that issue. These are trail shoes as they claim and not running shoes. Good enough."
the 1 star is only to be able to post a warning,"For beginners, the box was torn completely apart. I immediately tossed the ""cheese"" in the garbage. I managed to gnaw my way through 2 sticks of stale pepperoni."
Great ear buds!,"They are very easy to use once you get the hang of it. It took me a while to adjust them in my ears, but other than that, no problems and I like them!"
excellent for oil painting,"This is an excellent brush for oil painting, easy to make different brush strokes, easy to clean and it is very durable. I wll buy again in different size."
Sexy,I bought this for my night birthday outfit and I’m glad I read all the reviews I’m slim thick I was so scared but I purchased a xl I have wide hips big thighs and it fits perfectly fine !!!! I love the color
This is best brand,Works great!
High recommended!,Love love the product and it works like magic! Highly recommended for those who has deep skin scars on your face this product is very good ! Thank you seller fast and good packaging!
Good cover,I watched the video on how to attach the screen protector. It helped make it easier. I liked how the cover had a design on it that showed how to line up the phone before you took it off.
So beautiful and soft,Both my girls loved this rug as soon as they saw it! One of them will hardly keep it on the floor because she’d rather wrap up in it. Colors are great and it’s super soft.
Good Product Good Value,I bought to scan my '17 Chevrolet Cruise it does what is says
Exceeded Expectations,We are very happy with how this turned out. We gave formatting liberty to the seller and they did a great job. Would definitely recommend.
Food tongs,Excellent product and service
Good quality but too thick.,Too thick.
Works great,Great light!
Cat likes it,My cat is a finicky water drinker which led to a lot of dehydration problems. He seems to have taken to this water fountain tho!
Too small,They were way too small for a medium
Love!!,Soft and cuddly. Its my son's new favorite blanket!
Parts Missing/Broken,The charger was missing and some wires were broken.  I emailed the company with no answer so far (less than 24 hours).
Quality of product!!,Met all my expectations. Would buy again from this seller!!
Cute and comfortable,"Love the variety in the package. Packaging is first-class, too."
"Good product, saves you money on chip clips!","I really like this product and it will save me money since I don’t need chip clips anymore. It may take a few tries to get it right, but it’s very useful!"
Stop charging after 3 uses.,I only used it a couple of times and it stop charging
Nice skirt,Fits great and is very cute and flattering
A very good product!,It worked as advertised. Maca by Naturalize Labs increase my stamina and my libido. My wife loves it also.
Read all instructions in the booklet!,What a great system! So easy and the instructions are very helpful for first timers!!
I recommend,"I’m in love with this product, I loved the color it work really well. Im very recommend this product"
Just the right ones for my battery,The cables fit perfect
Great product,"It actually looks better than the picture shows, quality is great, light weights and easy to use. Maybe try to make it in different colors?"
I wouldn't recommend this to anyone.. very cheaply made,Wasn't a good product at all. It kept tearing apart
Daughter is loving her Green Screen,We used it to hang up the green screen and now my daughter is taking photos for my company and doing a great job for a 8 y/o
Enclosed dust cap,They look good on my vehicles
Best product out there!,I got this for my wife and she couldn’t be happier!
Runs very wide.,The shoe is well made but heavy.  I could not adjust Velcro straps tight enough to prevent my foot from slipping around and therefore I could not clip or unclip easily when mountain biking.
Easy and quick,I wanted a more sanitary way to check my temperature rather then the old fashioned thermometer. And i love it. Its easy to use and quick.
Appearance,"I was not disappointed with the wreaths.  I did not need a very colorful addition to my house, that will come in the spring. It was the appearance of springtime breaking through that attracted me to the wreaths."
Love these!!,"I never leave review but knew I had to for these. If you are up in the air, don’t hesitate and get these!! I have had them up for a few weeks now and have not had any peeling. I was able to do this all by myself. What I found worked was to cut them out and tape on the wall where I wanted them. That way I didn’t have to take them off after I got them on. I used a credit card to get out any bubbles and smooth them out. I wanted it to look more like wallpaper on the one wall. Love how they turned out and have gotten a ton of compliments on them."
Wrong size,This item supposed to be a 5qt
What it said it was,Great product!
Smaller than I thought they would be,My girls are always shaking off the old style tags so I thought this a better style.  Not difficult to get on
Nice cinnamon,Not as good as the Vietnamese one I got from same place
Beautiful,Beautiful color great material.
